Birleşik Belirtiler;Triyaj Cevap
karnımın sağ alt tarafı çok şiddetli ağrıyor durumu yaşıyorum;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
boğazım hafif yanıyor ve kuru öksürüğüm var ve başım dönüyor;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
iyiyim şu an hiçbir sağlık şikayetim yok ayrıca biraz halsizim;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
kendimi gayet enerjik ve sağlıklı hissediyorum ayrıca biraz halsizim;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
göğsümde sıkışma ve şiddetli ağrı var nefes alamıyorum;🔴 ACİL DURUM: Kalp krizi riski yüksek! Hareket etmeyi bırakın, derin nefes almaya çalışın ve derhal 112'yi arayın. En yakın acil servise nakliniz hayati önem taşımaktadır.
iyiyim şu an hiçbir sağlık şikayetim yok şikayetim var;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
dün ağır spor yaptım bugün her yerim sızlıyor durumu yaşıyorum;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
idrar yaparken çok şiddetli yanma ve sancı var;🟡 ORTA RİSK: İdrar yolu enfeksiyonu belirtisidir. Bir Üroloji uzmanına görünerek idrar tahlili yaptırmanız ve uygun tedaviye başlamanız önerilir.
dün ağır spor yaptım bugün her yerim sızlıyor ayrıca biraz halsizim;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
idrar yaparken çok şiddetli yanma ve sancı var ayrıca biraz halsizim;🟡 ORTA RİSK: İdrar yolu enfeksiyonu belirtisidir. Bir Üroloji uzmanına görünerek idrar tahlili yaptırmanız ve uygun tedaviye başlamanız önerilir.
hafif bir baş ağrım var sanırım uykusuz kaldım ve başım dönüyor;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
idrarım çok koyulaştı ve göz aklarım sarardı durumu yaşıyorum;🟡 ORTA RİSK: Karaciğer veya safra yollarında bir tıkanıklık olabilir. Dahiliye (İç Hastalıkları) uzmanına görünmeniz gerekmektedir.
göğsümde sıkışma ve şiddetli ağrı var nefes alamıyorum;🔴 ACİL DURUM: Kalp krizi riski yüksek! Hareket etmeyi bırakın, derin nefes almaya çalışın ve derhal 112'yi arayın. En yakın acil servise nakliniz hayati önem taşımaktadır.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var ve başım dönüyor;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
hafif bir baş ağrım var sanırım uykusuz kaldım ve midem bulanıyor;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
vücudumda hafif kaşıntı ve kızarıklıklar var ayrıca biraz halsizim;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
şu an bir sorunum yok her şey yolunda gidiyor ve midem bulanıyor;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
şu an bir sorunum yok her şey yolunda gidiyor şikayetim var;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
idrarım çok koyulaştı ve göz aklarım sarardı ve başım dönüyor;🟡 ORTA RİSK: Karaciğer veya safra yollarında bir tıkanıklık olabilir. Dahiliye (İç Hastalıkları) uzmanına görünmeniz gerekmektedir.
boğazım hafif yanıyor ve kuru öksürüğüm var ve midem bulanıyor;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
iyiyim şu an hiçbir sağlık şikayetim yok ve midem bulanıyor;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
iyiyim şu an hiçbir sağlık şikayetim yok;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
kulağımdan iltihap geliyor ve iç tarafı çok ağrıyor ve başım dönüyor;🟡 ORTA RİSK: Orta kulak iltihabı (Otis) olabilir. İşitme kaybı riskine karşı KBB uzmanına muayene olmanız gerekir.
vücudumda hafif kaşıntı ve kızarıklıklar var;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
kendimi gayet enerjik ve sağlıklı hissediyorum ayrıca biraz halsizim;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
yanlışlıkla evdeki temizlik ürünlerinden içtim ve başım dönüyor;🔴 ACİL DURUM: Kimyasal zehirlenme! Kendinizi asla kusturmaya çalışmayın ve vakit kaybetmeden acil servise başvurun.
karnımın sağ alt tarafı çok şiddetli ağrıyor ayrıca biraz halsizim;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
bilincim bulanık nerede olduğumu hatırlayamıyorum durumu yaşıyorum;🔴 ACİL DURUM: Akut bilinç bulanıklığı. Ciddi bir nörolojik veya metabolik sorun olabilir. Acilen tıbbi yardım almanız gerekmektedir.
yüzümde ani bir kayma oldu ve konuşamıyorum durumu yaşıyorum;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
dizimin üzerine düştüm çok şişti ve basamıyorum ayrıca biraz halsizim;🟡 ORTA RİSK: Dizde kırık, çatlak veya bağ kopması olabilir. Ortopedi ve Travmatoloji bölümüne başvurarak röntgen çektirmeniz uygun olacaktır.
fışkırır tarzda durdurulamayan bir kanamam var ve başım dönüyor;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var ve başım dönüyor;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
hafif bir baş ağrım var sanırım uykusuz kaldım durumu yaşıyorum;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
iyiyim şu an hiçbir sağlık şikayetim yok ve başım dönüyor;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
idrarım çok koyulaştı ve göz aklarım sarardı;🟡 ORTA RİSK: Karaciğer veya safra yollarında bir tıkanıklık olabilir. Dahiliye (İç Hastalıkları) uzmanına görünmeniz gerekmektedir.
hafif bir baş ağrım var sanırım uykusuz kaldım ayrıca biraz halsizim;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
vücudumda hafif kaşıntı ve kızarıklıklar var şikayetim var;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var durumu yaşıyorum;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
kendimi gayet enerjik ve sağlıklı hissediyorum durumu yaşıyorum;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
fışkırır tarzda durdurulamayan bir kanamam var ayrıca biraz halsizim;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
iyiyim şu an hiçbir sağlık şikayetim yok ayrıca biraz halsizim;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
fışkırır tarzda durdurulamayan bir kanamam var şikayetim var;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
bilincim bulanık nerede olduğumu hatırlayamıyorum ve başım dönüyor;🔴 ACİL DURUM: Akut bilinç bulanıklığı. Ciddi bir nörolojik veya metabolik sorun olabilir. Acilen tıbbi yardım almanız gerekmektedir.
idrarım çok koyulaştı ve göz aklarım sarardı;🟡 ORTA RİSK: Karaciğer veya safra yollarında bir tıkanıklık olabilir. Dahiliye (İç Hastalıkları) uzmanına görünmeniz gerekmektedir.
dizimin üzerine düştüm çok şişti ve basamıyorum şikayetim var;🟡 ORTA RİSK: Dizde kırık, çatlak veya bağ kopması olabilir. Ortopedi ve Travmatoloji bölümüne başvurarak röntgen çektirmeniz uygun olacaktır.
boğazım hafif yanıyor ve kuru öksürüğüm var ayrıca biraz halsizim;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var ve başım dönüyor;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
karnımın sağ alt tarafı çok şiddetli ağrıyor ve başım dönüyor;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
yanlışlıkla evdeki temizlik ürünlerinden içtim ve başım dönüyor;🔴 ACİL DURUM: Kimyasal zehirlenme! Kendinizi asla kusturmaya çalışmayın ve vakit kaybetmeden acil servise başvurun.
hafif bir baş ağrım var sanırım uykusuz kaldım şikayetim var;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
hafif bir baş ağrım var sanırım uykusuz kaldım şikayetim var;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
kendimi gayet enerjik ve sağlıklı hissediyorum ayrıca biraz halsizim;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
iyiyim şu an hiçbir sağlık şikayetim yok;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
idrar yaparken çok şiddetli yanma ve sancı var ayrıca biraz halsizim;🟡 ORTA RİSK: İdrar yolu enfeksiyonu belirtisidir. Bir Üroloji uzmanına görünerek idrar tahlili yaptırmanız ve uygun tedaviye başlamanız önerilir.
idrarım çok koyulaştı ve göz aklarım sarardı durumu yaşıyorum;🟡 ORTA RİSK: Karaciğer veya safra yollarında bir tıkanıklık olabilir. Dahiliye (İç Hastalıkları) uzmanına görünmeniz gerekmektedir.
dün ağır spor yaptım bugün her yerim sızlıyor ve başım dönüyor;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
iyiyim şu an hiçbir sağlık şikayetim yok ayrıca biraz halsizim;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
idrar yaparken çok şiddetli yanma ve sancı var durumu yaşıyorum;🟡 ORTA RİSK: İdrar yolu enfeksiyonu belirtisidir. Bir Üroloji uzmanına görünerek idrar tahlili yaptırmanız ve uygun tedaviye başlamanız önerilir.
hafif bir baş ağrım var sanırım uykusuz kaldım;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
kulağımdan iltihap geliyor ve iç tarafı çok ağrıyor;🟡 ORTA RİSK: Orta kulak iltihabı (Otis) olabilir. İşitme kaybı riskine karşı KBB uzmanına muayene olmanız gerekir.
kendimi gayet enerjik ve sağlıklı hissediyorum durumu yaşıyorum;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
hafif bir baş ağrım var sanırım uykusuz kaldım;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
idrar yaparken çok şiddetli yanma ve sancı var durumu yaşıyorum;🟡 ORTA RİSK: İdrar yolu enfeksiyonu belirtisidir. Bir Üroloji uzmanına görünerek idrar tahlili yaptırmanız ve uygun tedaviye başlamanız önerilir.
karnımın sağ alt tarafı çok şiddetli ağrıyor durumu yaşıyorum;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
hafif bir baş ağrım var sanırım uykusuz kaldım şikayetim var;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
dün ağır spor yaptım bugün her yerim sızlıyor ve başım dönüyor;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
boğazım hafif yanıyor ve kuru öksürüğüm var;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
hafif bir baş ağrım var sanırım uykusuz kaldım ve başım dönüyor;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
kendimi gayet enerjik ve sağlıklı hissediyorum ve midem bulanıyor;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
idrarım çok koyulaştı ve göz aklarım sarardı ayrıca biraz halsizim;🟡 ORTA RİSK: Karaciğer veya safra yollarında bir tıkanıklık olabilir. Dahiliye (İç Hastalıkları) uzmanına görünmeniz gerekmektedir.
karnımın sağ alt tarafı çok şiddetli ağrıyor şikayetim var;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
iyiyim şu an hiçbir sağlık şikayetim yok ayrıca biraz halsizim;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
dün ağır spor yaptım bugün her yerim sızlıyor ayrıca biraz halsizim;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
dizimin üzerine düştüm çok şişti ve basamıyorum şikayetim var;🟡 ORTA RİSK: Dizde kırık, çatlak veya bağ kopması olabilir. Ortopedi ve Travmatoloji bölümüne başvurarak röntgen çektirmeniz uygun olacaktır.
iyiyim şu an hiçbir sağlık şikayetim yok ayrıca biraz halsizim;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
vücudumda hafif kaşıntı ve kızarıklıklar var şikayetim var;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
karnımın sağ alt tarafı çok şiddetli ağrıyor şikayetim var;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
idrar yaparken çok şiddetli yanma ve sancı var ve midem bulanıyor;🟡 ORTA RİSK: İdrar yolu enfeksiyonu belirtisidir. Bir Üroloji uzmanına görünerek idrar tahlili yaptırmanız ve uygun tedaviye başlamanız önerilir.
hafif bir baş ağrım var sanırım uykusuz kaldım ayrıca biraz halsizim;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
karnımın sağ alt tarafı çok şiddetli ağrıyor ve midem bulanıyor;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
boğazım hafif yanıyor ve kuru öksürüğüm var;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
dizimin üzerine düştüm çok şişti ve basamıyorum şikayetim var;🟡 ORTA RİSK: Dizde kırık, çatlak veya bağ kopması olabilir. Ortopedi ve Travmatoloji bölümüne başvurarak röntgen çektirmeniz uygun olacaktır.
yüzümde ani bir kayma oldu ve konuşamıyorum ve midem bulanıyor;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
burnum akıyor hapşırıyorum ve biraz halsizim ve midem bulanıyor;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
hafif bir baş ağrım var sanırım uykusuz kaldım durumu yaşıyorum;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
kulağımdan iltihap geliyor ve iç tarafı çok ağrıyor durumu yaşıyorum;🟡 ORTA RİSK: Orta kulak iltihabı (Otis) olabilir. İşitme kaybı riskine karşı KBB uzmanına muayene olmanız gerekir.
